,obs_phi,xs_std,ys_std,xs_std_err,ys_std_err,xs_std_ci_lower,xs_std_ci_upper,ys_std_ci_lower,ys_std_ci_upper
0,0.0,0.29569647381837716,0.29569647381837716,0.004074316052200485,0.004115486779063733,0.2878580198126637,0.3037579853533466,0.28758391975513337,0.30373326387925936
1,1.0,0.2699944358948442,0.2698917869462766,0.0031865475207108257,0.003188258587613362,0.2637956594686307,0.27624334283307056,0.2636336919546089,0.27610510163996826
2,10.0,0.29333687052851004,0.2823314007776354,0.0040040626706659525,0.003883919635683906,0.285445744461152,0.3012656487172503,0.2747578697340494,0.2900322277332474
3,11.0,0.2954925457458017,0.2821661051353215,0.004036238496691098,0.003950861200511062,0.2876072548095431,0.3034282426583183,0.27443721748767563,0.28993486211585046
4,12.0,0.3014020962012723,0.28532180918299005,0.004190028149395615,0.003996252293474064,0.2932501928939571,0.3094669323268138,0.27744915206344106,0.2930911652688957
5,13.0,0.2743819237569309,0.25741406709624876,0.003581086676016848,0.003407614279519032,0.2673543662321544,0.2815822973432251,0.2508632143872095,0.2642860003535846
6,14.0,0.30157617362236677,0.27987178450619443,0.003742858193541219,0.003481929590733959,0.2943461816359508,0.3089219747910778,0.2730688375933194,0.28673942781150075
7,15.0,0.29770060633307605,0.2731876465372954,0.0035553619555071334,0.00332690653034211,0.29068406491862153,0.30469380623624476,0.2667245236294664,0.2797032806994951
8,16.0,0.3172071210472926,0.28702291176878986,0.004747553613022486,0.004319087327116597,0.3078728357775114,0.3266429181656348,0.2785978201892846,0.29565901787509313
9,17.0,0.29963231982885163,0.2689756614339549,0.003999225881668344,0.0036239535616018463,0.2918975947914471,0.30734443834837966,0.2621365297839636,0.27628480520534576
10,18.0,0.30384534322132906,0.26829606563935615,0.003782268327400034,0.0033057587235405107,0.29658099877319244,0.3113382652948276,0.2617672436696733,0.2746569413934363
11,19.0,0.3181997778053987,0.27807182949772635,0.004406341919661637,0.0038680341272414455,0.3095656336537338,0.3269423363855678,0.2704314727176307,0.28571133361994605
12,2.0,0.28528689053717665,0.2848591796587097,0.004538848242888993,0.004535013840978456,0.27662242342814225,0.2944448663575154,0.276025807850794,0.294005464146185
13,20.0,0.2982890757139146,0.25678104018501324,0.004067918520323709,0.003515448624958809,0.2903302729512453,0.306295870928237,0.25000168274966283,0.2637278525204597
14,21.0,0.28225149204377203,0.2394717477348538,0.003531691109843161,0.0030218334845966218,0.27529926785017045,0.28915897384889666,0.23368696043857326,0.24547633317665027
15,22.0,0.2895059053345911,0.2420352962155258,0.004143537979062109,0.0034203472651554664,0.2815592048668729,0.29765056078608576,0.23537637337245843,0.24873936024300064
16,23.0,0.30788295742538796,0.25381090806459955,0.004084209369385232,0.0033353228056341093,0.29985112989136686,0.31578173826881434,0.2473060587236928,0.2604303581540744
17,24.0,0.32106890956939765,0.2588759354192518,0.0046625032477982335,0.003805293891054351,0.31195780378286037,0.3300726222889242,0.25168606184312464,0.26640261747446503
18,25.0,0.3092296963056026,0.24605837140126804,0.004043683473717579,0.0032400796866414697,0.3013911931160512,0.31728212111826876,0.23982173733880593,0.2524032840964695
19,26.0,0.30899289014066805,0.241679248568394,0.004904831091739157,0.0038704022783594993,0.2995887138192083,0.31867147438966803,0.23416257209197222,0.2493788882909776
20,27.0,0.30306188396813377,0.2332026602203696,0.004110644935925111,0.0031742350284132636,0.2950150180313435,0.3112580873179661,0.22718941625171568,0.23951070242612094
21,28.0,0.30684843431642217,0.23300188964951757,0.0038730010846634777,0.0029086484720461142,0.29926592271754826,0.31450914698512233,0.22721953913499693,0.2386965472457635
22,29.0,0.3060513581133961,0.23094290399865908,0.004747054625807795,0.0038806465308445547,0.2968721901881605,0.3155377881141256,0.22370090833141001,0.23883212298265138
23,3.0,0.2750394276228186,0.27410192380560955,0.0034987487692783874,0.0034888531005790755,0.26834679123559263,0.28195736276806077,0.2672609330394643,0.2809720805987867
24,30.0,0.28478435124109025,0.21099305632714416,0.0035429994107987733,0.002663901373412052,0.27788747291354876,0.2916830891300993,0.2057905058354928,0.21613844515476602
25,31.0,0.3089075945034914,0.22452402368201568,0.004209320380461137,0.00302606990053724,0.3007555950899973,0.31712247044252134,0.21864983861649614,0.2304334937200688
26,32.0,0.3209318989214735,0.2302084079192168,0.004960800765096274,0.0034789010316125415,0.311251949351443,0.33066368867543816,0.2234213192959503,0.23715052775705683
27,33.0,0.29965144160602447,0.21114337147128334,0.005267468126982299,0.003607469706582531,0.2895798033962506,0.3104489878058061,0.2042465531897209,0.21836719797176288
28,34.0,0.3089867416208533,0.21308419706232495,0.0039053012452441235,0.002605917349787416,0.30141860684138466,0.3166720335938839,0.2080001280025716,0.2182680603716548
29,35.0,0.3142419567975673,0.21328183656644986,0.004280345344354947,0.0028172051324771535,0.3058391153977844,0.32266537423499136,0.2078887238595402,0.21892744784165902
30,36.0,0.3101030812944778,0.21024545170326156,0.0037907813113103547,0.0026413060388776805,0.30271616863492523,0.317657898995442,0.2050662043257271,0.21536680881376713
31,37.0,0.3145953472595076,0.2096797329958213,0.004384105256794052,0.00286668849045135,0.30599190197757437,0.32333576877365655,0.20408437216057546,0.215381930540636
32,38.0,0.3185475474866609,0.21347038078491484,0.004830940859442765,0.0032388753250636184,0.30923830729515817,0.3279719330418271,0.207077136234642,0.21981050578378059
33,39.0,0.318022660354941,0.20922224112795856,0.004395919729747416,0.002994789123670457,0.3092094146000453,0.3266156297799722,0.20348030818697913,0.21517847726529216
34,4.0,0.274004672930537,0.27234217801935506,0.003276016675585003,0.0032811154097800326,0.2676011000568573,0.2804154302190089,0.2660402424589737,0.2788568323837696
35,40.0,0.31023338572925296,0.19866280601788566,0.005013854233040238,0.003333118895895443,0.30074697729788835,0.32033932298449996,0.19238692202376342,0.2054184619762461
36,41.0,0.32411952507074576,0.2036944598873517,0.004827328723481664,0.0029136171735282333,0.31473942214110195,0.33363090524567296,0.19809308765869132,0.2093893194131984
37,42.0,0.33232669838079404,0.20277963743042116,0.00438189099909289,0.0025196782432475792,0.3236854683755756,0.34094237458008964,0.19788469555481578,0.20781032144560474
38,43.0,0.3428096521502735,0.20801270333445748,0.007871459912821425,0.0037371065025482274,0.3284477532247945,0.35913448068045906,0.201325740497025,0.21594896830633392
39,44.0,0.3320133717369581,0.20252575659641617,0.004714235410059254,0.0027872995787528894,0.32285240572472984,0.34130271249534094,0.19705723902456607,0.2080206982153728
40,45.0,0.30996821422852916,0.18773519357015075,0.004083031723125389,0.0025347617592220337,0.30206829726220047,0.317936411870099,0.18288090079802893,0.1928505041564806
41,46.0,0.3186166531717336,0.18950754363697347,0.00394775782111382,0.0022997324782781077,0.3109131359928071,0.3263730099442775,0.18495072721154,0.19394740460169624
42,47.0,0.321730243745073,0.19158109052306577,0.00433441967616643,0.0025674886733577937,0.3132609824978027,0.33026706644742415,0.18647530948051164,0.19655643224531993
43,48.0,0.3223718333913738,0.19150104874317683,0.0044647114249758224,0.002615200132608622,0.3136581250223803,0.33107126922178004,0.18641417441065858,0.19671205833806088
44,49.0,0.32329266804913814,0.19265832841902866,0.003977379923728118,0.002369631117015104,0.31542400458861897,0.3311205930879715,0.18804351882471637,0.1973458275112099
45,5.0,0.28418590069047334,0.2815250451680227,0.0035617344892315598,0.0035576059244484524,0.2773258856321099,0.29120339798074607,0.2745340593332416,0.2884379391946368
46,50.0,0.32825213462823544,0.19090087650682258,0.004621587195965354,0.002506209827256341,0.31920384503514243,0.33715714101075916,0.1861492020631242,0.19593192915367533
47,51.0,0.32121107660714304,0.18794102320408584,0.004245849682211342,0.0023064264276544196,0.31292534424688756,0.3295863161385959,0.18341010243088773,0.19249769487043075
48,52.0,0.32615464704536923,0.18822311181503992,0.004486630238206581,0.0023644360771151547,0.31731389835715307,0.3348826552917984,0.1836439340481184,0.19300198775750993
49,53.0,0.3255249062926853,0.18746958622469057,0.004845551992766078,0.0025820652549104236,0.3163163857709204,0.3352438109238727,0.18253624818060502,0.19257759446710862
50,54.0,0.3211489692847719,0.18222377822985686,0.00429463422466072,0.0021218023820034613,0.3128741902487876,0.32960911034166607,0.17800108321108155,0.18633895927263744
51,55.0,0.3341666130230647,0.19022611852723892,0.004421669122134516,0.002558964429986651,0.32560907486159757,0.3430504438508426,0.18526330293894394,0.1952330843118895
52,56.0,0.3303507311419926,0.19350160638591446,0.004775102697814364,0.0027774122666819967,0.32116391928763893,0.3399408959180784,0.18821862448644955,0.19910801739841455
53,57.0,0.32597965764950715,0.18897636807222018,0.004883642205678023,0.0025017144567577574,0.31654284045376135,0.3358472993353053,0.18412097964120192,0.19400836334105198
54,58.0,0.318938637313915,0.19257517456223494,0.004415877426066365,0.0023496113816877167,0.31036542449571786,0.327628489821134,0.1880020006422854,0.19712253489609435
55,59.0,0.3187859311174304,0.18959536378874287,0.004147989702506616,0.0024953193938697135,0.3106758794513923,0.3268122015280362,0.1847230367366196,0.1945044111403675
56,6.0,0.295498389173107,0.29149198631658885,0.0038483045710343907,0.0037623708865947765,0.2878535449672291,0.3030544364182188,0.28420602034190967,0.29890022458610044
57,60.0,0.33177188623426535,0.20232475705112948,0.004170562944416209,0.002605827089035648,0.3234651915466854,0.33978043875912195,0.19724291653261208,0.207396102023676
58,61.0,0.3467686053592312,0.19926656594797706,0.005333456427760679,0.0025120059216948176,0.3364808943206689,0.3574194353016678,0.1942727757475413,0.20413182246488434
59,62.0,0.34016377898345235,0.1954285885865594,0.004934522382657101,0.0027467310415277457,0.3305530307036836,0.3499354574769393,0.19007486064646578,0.20087468699644087
60,63.0,0.3221787557391281,0.1972189650165365,0.004172999537747852,0.00300210923601293,0.3140451346322122,0.3303133750077033,0.1913413733800691,0.20318952909039678
61,64.0,0.3264508959785416,0.2063806054033682,0.0041921921810391,0.0027574504562355106,0.31811633371375553,0.33456727021901567,0.20103958380995726,0.21191144930316846
62,65.0,0.3251642461965517,0.21111067567674188,0.004185650901441174,0.003067029565098301,0.316855727846113,0.3332779459522248,0.20520077117138297,0.21723338572657275
63,66.0,0.32540040210074506,0.21096414665623986,0.0043353145104401735,0.0029921451777284802,0.3169937749925166,0.3339845734996113,0.2051645814623086,0.21691796234012367
64,67.0,0.3348184023353552,0.21619012200326426,0.0043886190298523895,0.0027890049222701082,0.3262776385438965,0.3434316719705088,0.21073768923167013,0.22171020951353226
65,68.0,0.33241295492896616,0.21493539705260514,0.004559767019781541,0.0032526969235999407,0.3234271592903189,0.3413236249342235,0.20877458570983842,0.22153451157242
66,69.0,0.3259428599513025,0.21421870376099256,0.0042223472218607385,0.002667549259270045,0.3176325908104932,0.3341192674520601,0.20901449199622082,0.21952204147666465
67,7.0,0.27956114189333175,0.2744169406626383,0.003689861893394138,0.0035840883161546025,0.272207962137223,0.28683408532047805,0.2674303369490253,0.2814707580010618
68,70.0,0.33904406931402037,0.22740355512863614,0.00440540265546654,0.003237406374870007,0.3302787827981341,0.3478663685776711,0.22121573794799088,0.2338706878373344
69,71.0,0.31869766264321003,0.22198999636804567,0.0038971348618898637,0.0027732432654230528,0.3111783243384292,0.3264789812642722,0.21650603197973245,0.22739468948027006
70,72.0,0.3447664276247955,0.2257703926601769,0.004468084230498754,0.0028484233136046263,0.33606478487327224,0.35350318596017627,0.22001771704516027,0.23137002578133226
71,73.0,0.3101811905450405,0.2182994892614081,0.004072300414079464,0.0029388488494059496,0.3021323265119799,0.3179904814379633,0.2126314874615413,0.22412899953265816
72,74.0,0.32999842348285796,0.23052891576649712,0.004426335879151107,0.0033200938406355938,0.3214290633626902,0.3387237456369513,0.2239505157502344,0.2369970742331565
73,75.0,0.3283747122349174,0.24501042760854844,0.004392196549410833,0.003610213756197665,0.31984232311832117,0.3369524545934828,0.23791882757407443,0.25205845818683764
74,76.0,0.3205760378694233,0.23870903208571018,0.003861340733596899,0.002961557936538716,0.31309886939441056,0.328143396962896,0.232953876911254,0.2445687762723888
75,77.0,0.3232757704048363,0.23582210997473008,0.004878620228747987,0.003060605655300998,0.31382378093470115,0.3330443412898213,0.22980760133547237,0.2419004270506082
76,78.0,0.32531177331358313,0.23511220001474775,0.004086895895057392,0.0029656358687138186,0.31740019637802813,0.33322383796005794,0.2291889983387719,0.2408835204204974
77,79.0,0.34341760677629063,0.24936717380764784,0.00505834837269689,0.0032291763061170617,0.33352762221144033,0.35340794047256147,0.24296312026924385,0.25565189481758954
78,8.0,0.29499443474336323,0.28791336149345137,0.003604869571761202,0.003502124816635377,0.2881400050764057,0.3021793761771287,0.28100136748877586,0.2947586586632474
79,80.0,0.3322451898480709,0.23930621803087593,0.0043173738610989484,0.0030137214202741983,0.32380370438857037,0.34071063807508933,0.23346500219201882,0.24526730333162305
80,81.0,0.309346409093026,0.23825475383408456,0.0038104028589476544,0.0029182984259255415,0.3019732263780615,0.316771847058457,0.2324717306322657,0.24399718241382343
81,82.0,0.32508697884121424,0.24499785912697464,0.0042448246384299195,0.0028969936830024914,0.31680821459884273,0.33361540037753357,0.2392913430080994,0.250739709666484
82,83.0,0.34736338141382156,0.26309375403931473,0.004582826373822633,0.0031261323260948237,0.3384109657102018,0.3563812365784321,0.2569742019123459,0.2692168467343282
83,84.0,0.3263864139732227,0.24580258756919926,0.004308438497795153,0.0031757792884467327,0.31802269227373897,0.3349687404695117,0.23953268934959496,0.2519696469791493
84,85.0,0.33883963828077296,0.2584131054399163,0.005024798292788611,0.0033989870102165798,0.32914688690900473,0.3486436880074929,0.25180634300291665,0.26510997431701844
85,86.0,0.3356152798219447,0.2645011405572292,0.004636004189626812,0.0038376450069130767,0.32652188043701613,0.3447403847449474,0.25725322464533407,0.27214749845500397
86,87.0,0.3451805090936723,0.2626152917237637,0.004591165807850031,0.003548451049727766,0.3363111747640648,0.35409377851300405,0.2557892990755152,0.269736808725414
87,88.0,0.34284654333856646,0.26145120062348665,0.004683871470274183,0.003607533618722674,0.3339391223804067,0.3521646753166091,0.25441585252303933,0.2686680313541215
88,89.0,0.3326845525062012,0.25173092025678995,0.004303775623393267,0.003097471948163913,0.32436125183782627,0.3411987316603696,0.24562261267593938,0.25777112781972744
89,9.0,0.2928661169915778,0.28406755716853554,0.004380089052402115,0.004213148634339602,0.2842325892911185,0.3015990377751534,0.2759761440966,0.2925238179937281
90,90.0,0.3255870500497075,0.24984138266621433,0.004433617956366769,0.003426904633006153,0.31700987831989824,0.3342888246036853,0.2431940605628351,0.2567163836940527
