,band_lat,xs_std,ys_std,xs_std_err,ys_std_err,xs_std_ci_lower,xs_std_ci_upper,ys_std_ci_lower,ys_std_ci_upper
0,0.0,0.4021015287004806,0.06767886322581633,0.005360884224318705,0.0009504732592531747,0.3916908752066888,0.41257496706688424,0.06587732921242122,0.06959223529305573
1,10.0,0.39407195013093504,0.13256468176160344,0.0047003208965318705,0.0016099209304418262,0.38487731342295795,0.40326913512143525,0.12945524859960594,0.13579625844294393
2,15.0,0.3880772673765198,0.17807295747111512,0.005075717352058952,0.002264625869181445,0.3781257009977037,0.3978891467180028,0.1736286338048818,0.18257077207519526
3,20.0,0.34769874005817986,0.20832879967289802,0.004556647735583234,0.002357328546849662,0.33876574538951537,0.3565988563100494,0.20369650935970335,0.21290597922699364
4,25.0,0.33305610724945195,0.25300905446759553,0.004976600265600745,0.003375022276516116,0.3234825167748012,0.34301588698762653,0.24640200097308837,0.2595853988095464
5,30.0,0.29725822286774845,0.2708112665997978,0.0041184941531554305,0.0033147488350377097,0.28933896897365413,0.3053168769244885,0.2643441708172314,0.2773568065972745
6,35.0,0.26529405384397003,0.29902041998792595,0.0033520899310514754,0.003478241663508395,0.25879715842488943,0.27177299690035706,0.2922105705296065,0.3058943133004849
7,40.0,0.24598706559797798,0.31839571024848834,0.004681972720367955,0.0048527590379377865,0.2371074040290394,0.25535108887223384,0.3091628945461188,0.32818262958979433
8,45.0,0.19266760488246268,0.2877708142359711,0.0027849149699104682,0.0038061157907168844,0.18716880267185068,0.19807442672147374,0.2805022936613018,0.2953915020482161
9,5.0,0.39213192276081704,0.0901908616560522,0.005089347823438939,0.0012206755190148795,0.38239558882486596,0.40255627956709333,0.08788453540767999,0.09265124810272118
10,50.0,0.1577400366066744,0.29024446909186163,0.002009114950781424,0.0040540222881829706,0.1538016114456593,0.1616636359867052,0.2824047658518943,0.29830486897028907
11,55.0,0.13135888097524903,0.2719513000907336,0.0017989916402468106,0.003443856691024927,0.1278672395062231,0.13484970312382338,0.2652129743863601,0.27880232085442225
12,60.0,0.1037916070731819,0.25587851090009417,0.0014345815618374994,0.0030191548495897406,0.10100776546629686,0.10665776426765504,0.24994048782712855,0.26190929788607625
13,65.0,0.07254656098139618,0.21301025706276608,0.0009423068540468147,0.002481255667470594,0.07068385546494403,0.07438214347888619,0.20813424857403848,0.2178580582620034
14,70.0,0.05115324807235796,0.17239900173491268,0.0007148523828340976,0.0020434895949941983,0.049752013210563835,0.05255714154595989,0.16850325456599238,0.1764735998364
15,75.0,0.03376950813104648,0.14725331071577555,0.000518545644391149,0.002002020877812059,0.03272109307124135,0.03476487800565765,0.14344829612656518,0.15125287273070037
